         778512335 function calls (766171447 primitive calls) in 512.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   928209    0.554    0.000    2.303    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:477(is_interval_dtype)
   141188    0.548    0.000    0.548    0.000 {built-in method _operator.and_}
   281790    0.548    0.000    7.674    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3707(fillna)
  2233188    0.548    0.000    1.880    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3309(<genexpr>)
   319897    0.539    0.000    6.198    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:573(astype)
   504199    0.532    0.000    2.131    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:4436(f)
  1999592    0.532    0.000    0.532    0.000 {method 'startswith' of 'str' objects}
   225590    0.531    0.000    1.977    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3784(_consolidate_check)
   482995    0.527    0.000    5.922    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:2690(_getitem_column)
   113604    0.522    0.000    8.007    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:1237(take_nd)
   320190    0.520    0.000   20.951    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/util/_decorators.py:136(wrapper)
  3170985    0.519    0.000    0.519    0.000 {built-in method pandas._libs.lib.is_float}
181095/68243    0.517    0.000    1.481    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/openpyxl/descriptors/serialisable.py:164(__eq__)
  2942938    0.516    0.000    0.516    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:203(internal_values)
